Country Name,1990,*1990,1991,*1991,1992,*1992,1993,*1993,1994,*1994,1995,*1995,1996,*1996,1997,*1997,1998,*1998,1999,*1999,2000,*2000,2001,*2001,2002,*2002,2003,*2003,2004,*2004,2005,*2005,2006,*2006,2007,*2007,2008,*2008,2009,*2009,2010,*2010,2011,*2011,2012,*2012,2013,*2013,2014,*2014,2015,*2015
Uruguay,7978,0.000781167,8549.9,0.000840874,9121.8,0.000901113,9693.7,0.00096189,10265.6,0.001023212,10837.5,0.001085088,11409.4,0.001147525,11981.3,0.00121053,12553.2,0.001274111,13125.1,0.001338277,13697,0.001403034,14001.2,0.0014413,14305.4,0.001479948,14609.6,0.001518982,14913.8,0.001558409,15218,0.001598234,15637,0.001648492,16056,0.001699135,16475,0.001750166,16894,0.00180159,17313,0.001853412,17540.4,0.001882256,17767.8,0.001911238,17995.2,0.00194036,18222.6,0.001969623,18450,0.001999027
"Bahamas, The",5150,0.000504263,5150,0.000506497,5150,0.000508752,5150,0.000511026,5150,0.000513321,5150,0.000515636,5150,0.000517972,5150,0.00052033,5150,0.000522709,5150,0.00052511,5150,0.000527533,5150,0.000530147,5150,0.000532787,5150,0.000535453,5150,0.000538146,5150,0.000540867,5150,0.000542926,5150,0.000545002,5150,0.000547093,5150,0.0005492,5150,0.000551324,5150,0.000552645,5150,0.000553973,5150,0.000555307,5150,0.000556647,5150,0.000557994
El Salvador,3770,0.00036914,3725,0.00036635,3680,0.000363535,3635,0.000360695,3590,0.000357829,3545,0.000354938,3500,0.00035202,3455,0.000349076,3410,0.000346105,3365,0.000343106,3320,0.00034008,3274,0.00033703,3228,0.000333949,3182,0.000330837,3136,0.000327694,3090,0.00032452,3046,0.000321117,3002,0.000317688,2958,0.000314233,2914,0.000310751,2870,0.000307243,2826,0.000303257,2782,0.000299253,2738,0.000295229,2694,0.000291186,2650,0.000287123
Jamaica,3446,0.000337416,3442.3,0.000338547,3438.6,0.000339688,3434.9,0.000340839,3431.2,0.000342001,3427.5,0.000343173,3423.8,0.000344356,3420.1,0.00034555,3416.4,0.000346754,3412.7,0.00034797,3409,0.000349196,3405.6,0.000350577,3402.2,0.00035197,3398.8,0.000353378,3395.4,0.0003548,3392,0.000356237,3387.8,0.000357151,3383.6,0.000358071,3379.4,0.000358999,3375.2,0.000359934,3371,0.000360876,3367.2,0.000361333,3363.4,0.000361793,3359.6,0.000362254,3355.8,0.000362718,3352,0.000363184
Puerto Rico,2870,0.000281017,3033.1,0.000298302,3196.2,0.000315742,3359.3,0.000333338,3522.4,0.000351091,3685.5,0.000369005,3848.5,0.000387071,4011.6,0.000405312,4174.7,0.000423719,4337.8,0.000442296,4500.9,0.000461044,4526.5,0.000465963,4552,0.000470922,4577.6,0.00047594,4603.1,0.000480998,4628.7,0.000486118,4661.8,0.000491459,4694.9,0.00049684,4727.9,0.000502252,4761,0.000507717,4794.1,0.000513224,4827.2,0.000518006,4860.3,0.00052281,4893.3,0.000527628,4926.4,0.000532479,4959.5,0.000537354
Trinidad and Tobago,2407,0.000235682,2399.9,0.000236028,2392.8,0.000236377,2385.7,0.000236729,2378.6,0.000237084,2371.5,0.000237443,2364.4,0.000237805,2357.3,0.00023817,2350.2,0.000238538,2343.1,0.00023891,2336,0.000239285,2328.8,0.000239729,2321.6,0.000240178,2314.4,0.000240632,2307.2,0.00024109,2300,0.000241552,2292.8,0.000241713,2285.6,0.000241875,2278.4,0.000242038,2271.2,0.000242203,2264,0.000242368,2280.2,0.000244688,2296.3,0.000247007,2312.5,0.000249349,2328.6,0.000251691,2344.8,0.000254055
Haiti,1160,0.000113582,1153,0.000113396,1146,0.00011321,1139,0.000113021,1132,0.000112831,1125,0.000112639,1118,0.000112445,1111,0.00011225,1104,0.000112053,1097,0.000111854,1090,0.000111653,1082,0.000111382,1074,0.000111109,1066,0.000110834,1058,0.000110555,1050,0.000110274,1042,0.00010985,1034,0.000109424,1026,0.000108994,1018,0.00010856,1010,0.000108124,1002,0.000107524,994,0.000106922,986,0.000106317,978,0.000105709,970,0.000105098
Dominica,500,4.89576E-05,497.3,4.8909E-05,494.7,4.88698E-05,492,4.88203E-05,489.3,4.87704E-05,486.6,4.87201E-05,484,4.86793E-05,481.3,4.86281E-05,478.6,4.85764E-05,476,4.85345E-05,473.3,4.84819E-05,470.6,4.84441E-05,467.9,4.8406E-05,465.3,4.83779E-05,462.6,4.83391E-05,459.9,4.82999E-05,457.2,4.81992E-05,454.6,4.81083E-05,451.9,4.80061E-05,449.3,4.79137E-05,446.6,4.781E-05,443.9,4.76348E-05,441.3,4.74695E-05,438.6,4.72927E-05,436,4.71259E-05,433.3,4.69473E-05
Turks and Caicos Islands,344,3.36828E-05,344,3.38321E-05,344,3.39826E-05,344,3.41345E-05,344,3.42878E-05,344,3.44425E-05,344,3.45985E-05,344,3.4756E-05,344,3.49149E-05,344,3.50753E-05,344,3.52372E-05,344,3.54118E-05,344,3.55881E-05,344,3.57662E-05,344,3.59461E-05,344,3.61278E-05,344,3.62654E-05,344,3.6404E-05,344,3.65437E-05,344,3.66844E-05,344,3.68263E-05,344,3.69145E-05,344,3.70032E-05,344,3.70923E-05,344,3.71819E-05,344,3.72718E-05
St. Vincent and the Grenadines,250,2.44788E-05,251,2.46856E-05,252,2.48943E-05,253,2.51048E-05,254,2.53172E-05,255,2.55315E-05,256,2.57477E-05,257,2.5966E-05,258,2.61862E-05,259,2.64085E-05,260,2.66328E-05,260,2.67647E-05,260,2.6898E-05,260,2.70326E-05,260,2.71685E-05,260,2.73059E-05,262,2.76207E-05,264,2.79379E-05,266,2.82576E-05,268,2.85797E-05,270,2.89044E-05,270,2.89736E-05,270,2.90432E-05,270,2.91132E-05,270,2.91834E-05,270,2.92541E-05
